"","X","Paper","Condition","Subcondition","Neurotypical","Subject.Group","Dual.Task","Treatment","Self.Congruence","Scene","fMRI","ERP","Eye.Track","Agent","Agent.Subclass","Animate","Directional","Perspective.Consistency","Directional.Consistency","Gender.Matched","Target.Perspective","Self.Other.Blocking","Design.Block","Block.Type","Excluded.Mismatch","Explicitly.Tracking.Self","Explicitly.Tracking.Other","Explicitly.NOT.Tracking.Other","Told.Ignore.Stimulus","Spacial.Distribution","Perspective.Eliminated","Learning.Required","Cue.Type","Cue","Social.Cue","Task","Action","Timeout","Virtual.InPerson","Subject","Value","RTorError","StudyNumber","Age","Sex","Matching","PerspectiveSelf","filter_condition"
"1",12600,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_1",0.1666667,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"2",12601,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_1",0.2777778,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"3",12602,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_10",0.05555556,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"4",12603,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_10",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"5",12604,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_11",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"6",12605,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_11",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"7",12606,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_12",0.05555556,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"8",12607,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_12",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"9",12608,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_13",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"10",12609,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_13",0.05555556,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"11",12610,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_14",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"12",12611,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_14",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"13",12612,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_15",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"14",12613,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_15",0.1111111,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"15",12614,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_16",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"16",12615,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_16",0.05555556,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"17",12616,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_2",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"18",12617,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_2",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"19",12618,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_3",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"20",12619,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_3",0.05555556,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"21",12620,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_4",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"22",12621,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_4",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"23",12622,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_5",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"24",12623,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_5",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"25",12624,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_6",0.05555556,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"26",12625,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_6",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"27",12626,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_7",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"28",12627,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_7",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
